age,Education_level,Count_var,highlight,Count_var_tot,Frac_edu
28,University,140161,All people counted,140161,1
29,High School,146261,All people counted,146261,1
29,Middle School,146261,All people counted,146261,1
29,Research,146261,All people counted,146261,1
29,University,146261,All people counted,146261,1
30,High School,149805,All people counted,149805,1
30,Middle School,149805,All people counted,149805,1
30,Research,149805,All people counted,149805,1
30,University,149805,All people counted,149805,1
31,High School,152674,All people counted,152674,1
31,Middle School,152674,All people counted,152674,1
31,Research,152674,All people counted,152674,1
31,University,152674,All people counted,152674,1
32,High School,146575,All people counted,146575,1
32,Middle School,146575,All people counted,146575,1
32,Research,146575,All people counted,146575,1
32,University,146575,All people counted,146575,1
33,High School,144412,All people counted,144412,1
33,Middle School,144412,All people counted,144412,1
33,Research,144412,All people counted,144412,1
33,University,144412,All people counted,144412,1
34,High School,137662,All people counted,137662,1
34,Middle School,137662,All people counted,137662,1
34,Research,137662,All people counted,137662,1
34,University,137662,All people counted,137662,1
35,High School,136135,All people counted,136135,1
35,Middle School,136135,All people counted,136135,1
35,Research,136135,All people counted,136135,1
35,University,136135,All people counted,136135,1
36,High School,133571,All people counted,133571,1
36,Middle School,133571,All people counted,133571,1
36,Research,133571,All people counted,133571,1
36,University,133571,All people counted,133571,1
37,High School,129003,All people counted,129003,1
37,Middle School,129003,All people counted,129003,1
37,Research,129003,All people counted,129003,1
37,University,129003,All people counted,129003,1
38,High School,126039,All people counted,126039,1
38,Middle School,126039,All people counted,126039,1
38,Research,126039,All people counted,126039,1
38,University,126039,All people counted,126039,1
39,High School,126414,All people counted,126414,1
39,Middle School,126414,All people counted,126414,1
39,Research,126414,All people counted,126414,1
39,University,126414,All people counted,126414,1
40,High School,124424,All people counted,124424,1
40,Middle School,124424,All people counted,124424,1
40,Research,124424,All people counted,124424,1
40,University,124424,All people counted,124424,1
41,High School,128483,All people counted,128483,1
41,Middle School,128483,All people counted,128483,1
41,Research,128483,All people counted,128483,1
41,University,128483,All people counted,128483,1
42,High School,124538,All people counted,124538,1
42,Middle School,124538,All people counted,124538,1
42,Research,124538,All people counted,124538,1
42,University,124538,All people counted,124538,1
43,High School,120729,All people counted,120729,1
43,Middle School,120729,All people counted,120729,1
43,Research,120729,All people counted,120729,1
43,University,120729,All people counted,120729,1
44,High School,122016,All people counted,122016,1
44,Middle School,122016,All people counted,122016,1
44,Research,122016,All people counted,122016,1
44,University,122016,All people counted,122016,1
45,High School,123062,All people counted,123062,1
45,Middle School,123062,All people counted,123062,1
45,Research,123062,All people counted,123062,1
45,University,123062,All people counted,123062,1
46,High School,127452,All people counted,127452,1
46,Middle School,127452,All people counted,127452,1
46,Research,127452,All people counted,127452,1
46,University,127452,All people counted,127452,1
47,High School,133234,All people counted,133234,1
47,Middle School,133234,All people counted,133234,1
47,Research,133234,All people counted,133234,1
