t,Upper_CI,Confidence_level,median,Lower_CI
0,11.057047844899714,80%,10.437154114540345,9.977681415482376
0,11.475545953489766,90%,10.437154114540345,9.529166563538725
0,11.880347528879698,99%,10.437154114540345,9.4187613380356
0.10101010101010101,11.253538336824072,80%,10.636716771256804,10.178873193515265
0.10101010101010101,11.667635607951519,90%,10.636716771256804,9.742081021479613
0.10101010101010101,12.070941300568983,99%,10.636716771256804,9.644342498301606
0.20202020202020202,11.454525656771764,80%,10.840124236332327,10.384564393982904
0.20202020202020202,11.8595102391327,90%,10.840124236332327,9.94800906579339
0.20202020202020202,12.252867134070232,99%,10.840124236332327,9.874975030690859
0.30303030303030304,11.657080266398273,80%,11.047961039418755,10.593350265325075
0.30303030303030304,12.055485994198099,90%,11.047961039418755,10.15832337792423
0.30303030303030304,12.437755291605777,99%,11.047961039418755,10.100411037500898
0.40404040404040403,11.863402627376493,80%,11.258743753451245,10.80822473746365
0.40404040404040403,12.256223513288717,90%,11.258743753451245,10.375641209231782
0.40404040404040403,12.63744511054922,99%,11.258743753451245,10.310743268217838
0.5050505050505051,12.07275693658838,80%,11.474847601079391,11.02668701928092
0.5050505050505051,12.460510172653127,90%,11.474847601079391,10.594681400643653
0.5050505050505051,12.840341007775205,99%,11.474847601079391,10.52998122618935
0.6060606060606061,12.288078224357587,80%,11.695285040206473,11.249475121301774
0.6060606060606061,12.669902851817241,90%,11.695285040206473,10.822428871859813
0.6060606060606061,13.045789758314024,99%,11.695285040206473,10.767599527412843
0.7070707070707071,12.505782580022329,80%,11.918274719630652,11.475960705812515
0.7070707070707071,12.8829286425927,90%,11.918274719630652,11.05001237221719
0.7070707070707071,13.25605686035815,99%,11.918274719630652,10.995532080297846
0.8080808080808081,12.727527790014742,80%,12.145639711229574,11.706450164909956
0.8080808080808081,13.098265350766987,90%,12.145639711229574,11.292417668159986
0.8080808080808081,13.470654311603703,99%,12.145639711229574,11.22405613822467
0.9090909090909091,12.95314925323942,80%,12.37828040915063,11.942795709680347
0.9090909090909091,13.315949384802533,90%,12.37828040915063,11.525623992326622
0.9090909090909091,13.688828970178886,99%,12.37828040915063,11.45732969332509
1.0101010101010102,13.18180454455076,80%,12.614993746435445,12.183574455679919
1.0101010101010102,13.538908274764077,90%,12.614993746435445,11.76349623437975
1.0101010101010102,13.902958271732848,99%,12.614993746435445,11.69545145610305
1.1111111111111112,13.414511977929761,80%,12.85708292619239,12.428702134982114
1.1111111111111112,13.769657802376997,90%,12.85708292619239,12.006587805997587
1.1111111111111112,14.119182425031452,99%,12.85708292619239,11.938522188598444
1.2121212121212122,13.65219164914371,80%,13.104616074147756,12.678757446014306
1.2121212121212122,14.003367937798007,90%,13.104616074147756,12.25453410062011
1.2121212121212122,14.341526903187807,99%,13.104616074147756,12.186644747024955
1.3131313131313131,13.893106004148095,80%,13.356835870388782,12.935151905325982
1.3131313131313131,14.235631740960038,90%,13.356835870388782,12.507605462267033
1.3131313131313131,14.5731569468436,99%,13.356835870388782,12.439924125293995
1.4141414141414141,14.140886841373899,80%,13.613219501041646,13.193903658315856
1.4141414141414141,14.475156585588032,90%,13.613219501041646,12.765898783908094
1.4141414141414141,14.807033908316475,99%,13.613219501041646,12.697843168633796
1.5151515151515151,14.392177860990543,80%,13.873182151209857,13.457738336337092
1.5151515151515151,14.719334361117248,90%,13.873182151209857,13.02952609535285
1.5151515151515151,15.033181799069853,99%,13.873182151209857,12.96216938636609
1.6161616161616161,14.64811259013829,80%,14.138573545624721,13.725528557852774
1.6161616161616161,14.96383007658563,90%,14.138573545624721,13.300314253560158
1.6161616161616161,15.268223588547785,99%,14.138573545624721,13.23177941698896
1.7171717171717171,14.908162357369322,80%,14.410100902331305,13.999503349037044
1.7171717171717171,15.214385309672751,90%,14.410100902331305,13.577979551188685
1.7171717171717171,15.508093338322729,99%,14.410100902331305,13.506775876966126
1.8181818181818181,15.177290934970816,80%,14.687064830478747,14.278876910333729
1.8181818181818181,15.475729861835543,90%,14.687064830478747,13.85523030666575
1.8181818181818181,15.75522589488279,99%,14.687064830478747,13.787488087523593
1.9191919191919191,15.44881642047387,80%,14.96819535449994,14.562746025825342
1.9191919191919191,15.736886785656772,90%,14.96819535449994,14.144316220245239
1.9191919191919191,16.011902737034884,99%,14.96819535449994,14.07403763725143
2.0202020202020203,15.724792378247974,80%,15.254367758785751,14.852337350659901
2.0202020202020203,16.004382875200847,90%,15.254367758785751,14.436248547980844
2.0202020202020203,16.268064514676542,99%,15.254367758785751,14.366542633434886
2.121212121212121,16.008372158786315,80%,15.543672018474624,15.14569991119781
2.121212121212121,16.28278583056163,90%,15.543672018474624,14.729634133987474
2.121212121212121,16.5394675528982,99%,15.543672018474624,14.665126849933154
2.2222222222222223,16.301788921887326,80%,15.842644221425129,15.447151924375724
2.2222222222222223,16.56689276236958,90%,15.842644221425129,15.033814349657277
2.2222222222222223,16.814848467218578,99%,15.842644221425129,14.969916633035368
2.323232323232323,16.593981379340292,80%,16.14602899303093,15.7528366781223
2.323232323232323,16.85786578979089,90%,16.14602899303093,15.344750338474443
2.323232323232323,17.10468674276106,99%,16.14602899303093,15.281040954924181
2.4242424242424243,16.896930414500762,80%,16.45297346788179,16.062121173726773
2.4242424242424243,17.15243561310447,90%,16.45297346788179,15.661149288126433
2.4242424242424243,17.413237742169958,99%,16.45297346788179,15.600134694203478
2.525252525252525,17.206523569833347,80%,16.76467343664224,16.37812174528902
2.525252525252525,17.45041676009192,90%,16.76467343664224,15.984566130986579
