country_of_origin,company,farm_name,total_cup_points
Kenya,ibero kenya limited,NA,84
Kenya,taylor winch (coffee) ltd,-,84
Brazil,ipanema coffees,fazenda capoeirnha,83.92
Mexico,cafes tomari sa de cv,cafetal,83.92
Brazil,ipanema coffees,capoeirinha,83.92
Taiwan,taiwan coffee laboratory,tsoustructive garden 鄒築園,83.92
Colombia,carcafe ltda,NA,83.92
Colombia,racafe & cia s.c.a,NA,83.92
Taiwan,宸嶧國際,very famous intl.名門義理國際股份有限公司,83.92
Colombia,federacion nacional de cafeteros,NA,83.92
Colombia,federacion nacional de cafeteros,NA,83.92
Colombia,racafe & cia s.c.a,NA,83.92
Taiwan,宸嶧國際,神谷山莊園,83.92
Colombia,ecom cca sa,NA,83.92
Mexico,agro xicotepec 2000,finca cuetzalingo,83.92
Mexico,ecomtrading,finca sant rosa,83.92
Mexico,organizaciones de productores de cafe colimense sa de cv,comunidad la yerbabuena,83.92
Colombia,carcafe ltda,NA,83.83
Colombia,racafe & cia s.c.a,NA,83.83
Guatemala,"siembras vision, s.a.",finca medina,83.83
Taiwan,宸嶧國際,優遊吧斯股份有限公司yuyupas international corp.,83.83
Brazil,ipanema coffees,rio verde,83.83
Taiwan,taiwan coffee laboratory,鄉舍咖啡 hometown coffee,83.83
Brazil,ipanema coffees,rio verde,83.83
Guatemala,"unex guatemala, s.a.",el papaturro,83.83
Brazil,ipanema coffees,fazenda rio verde,83.83
Colombia,exportadora de cafe condor s.a,NA,83.83
Guatemala,"unex guatemala, s.a.",finca el morito,83.83
Mexico,NA,predio cañada del encino,83.83
Mexico,ecomtrading,finca santa teresa,83.83
Brazil,exportadora de cafés carmo de minas ltda,fazenda do sertao,83.83
Kenya,taylor winch (coffee) ltd,NA,83.75
Brazil,ipanema coffees,fazenda capoeirnha,83.75
Colombia,carcafe ltda,NA,83.75
Taiwan,taiwan coffee laboratory,崁頭山咖啡館 (kan tou mountain coffee),83.75
Colombia,racafe & cia s.c.a,NA,83.75
Colombia,carcafe ltda,NA,83.75
Colombia,racafe & cia s.c.a,NA,83.75
Colombia,olam international ltd,NA,83.75
Colombia,exportadora de cafe condor s.a,NA,83.75
Colombia,exportadora de cafe condor s.a,NA,83.75
Mexico,NA,naranjal,83.75
Guatemala,the coffee source inc.,several farms,83.75
Colombia,NA,NA,83.75
Colombia,NA,NA,83.75
Brazil,ipanema coffees,fazenda capoeirnha,83.67
Kenya,taylor winch (coffee) ltd,NA,83.67
Brazil,ipanema coffees,capoeirinha,83.67
Taiwan,taiwan coffee laboratory,tsoustructive garden 鄒築園,83.67
Colombia,olam specialty coffee,NA,83.67
Guatemala,exportcafe,finca las cuevitas,83.67
Colombia,exportadora de cafe condor s.a,various,83.67
Colombia,racafe & cia s.c.a,NA,83.67
Guatemala,"unex guatemala, s.a.",la union monte verde,83.67
Guatemala,"unex guatemala, s.a.",el sacramento,83.67
Colombia,exportadora de cafe condor s.a,NA,83.67
Guatemala,the coffee source inc.,finca quequesquez,83.67
Guatemala,"unex guatemala, s.a.",agropecuaria quiagral,83.67
Mexico,NA,finca apoxtla,83.67
Guatemala,"siembras vision, s.a.",finca medina,83.67
Brazil,ipanema coffees,fazenda capoeirnha,83.58
Guatemala,exportcafe,finca santa clara,83.58
Colombia,racafe & cia s.c.a,NA,83.58
Colombia,racafe & cia s.c.a,NA,83.58
Mexico,exportadora café california,exportadora café california,83.58
Colombia,ecom cca sa,NA,83.58
Colombia,ecom cca sa,NA,83.58
Colombia,ecom cca sa,NA,83.58
Taiwan,blossom valley宸嶧國際,dragon coffee 龍咖啡,83.58
Colombia,c.i.racafe & cia s.c.a,NA,83.58
Mexico,ecomtrading,ojo de agua,83.58
Colombia,carcafe ltda,NA,83.58
Brazil,nucoffee,fazenda jericó,83.58
Colombia,carcafe ltda,NA,83.5
Taiwan,宸嶧國際,南投縣魚池鄉水社村中正路63-1號,83.5
Colombia,carcafe ltda,NA,83.5
Guatemala,"unex guatemala, s.a.",la esperanza,83.5
Colombia,racafe & cia s.c.a,NA,83.5
Colombia,federacion nacional de cafeteros,NA,83.5
Colombia,exportadora de cafe condor s.a,NA,83.5
Guatemala,the coffee source inc.,several,83.5
Colombia,ecom cca sa,NA,83.5
Colombia,exportadora de cafe condor s.a,NA,83.5
Colombia,exportadora de cafe condor s.a,NA,83.5
Mexico,finca los barreales,finca los barreales 1112lban,83.5
Mexico,estrategias constructivas corzu s.a. de c.v.,NA,83.5
Mexico,NA,la corralera,83.5
Guatemala,kanematsu corporation / rnp santo tomas pachuj,santo tomas pachuj,83.5
Colombia,c.i.racafe & cia s.c.a,NA,83.5
Guatemala,coffee resources inc.,conquista / morito,83.5
Colombia,carcafe ltda,NA,83.42
Guatemala,"unex guatemala, s.a.",piamonte,83.42
Colombia,carcafe ltda,NA,83.42
Taiwan,宸嶧國際,日月潭文武莊園,83.42
Colombia,carcafe ltda,NA,83.42
Brazil,bourbon specialty coffees,cachoeira da grama farm,83.42
Colombia,ecom cca sa,NA,83.42
Guatemala,"unex guatemala, s.a.",el papaturro,83.42
Guatemala,"siembras vision, s.a.",finca medina,83.42
Guatemala,"unex guatemala, s.a.",el morito,83.42
Colombia,exportadora de cafe condor s.a,various,83.42
Colombia,NA,NA,83.42
Mexico,NA,NA,83.38
Colombia,exportadora de cafe condor s.a,various,83.33
Colombia,racafe & cia s.c.a,NA,83.33
Colombia,racafe & cia s.c.a,NA,83.33
Brazil,ipanema coffees,rio verde,83.33
Mexico,exportadora café california,ecc,83.33
Colombia,exportadora de cafe condor s.a,various,83.33
Mexico,"café andrade, s.a. de c.v.",el pino,83.33
Colombia,carcafe ltda,NA,83.33
Guatemala,"unex guatemala, s.a.",el sacramento,83.33
Colombia,exportadora de cafe condor s.a,NA,83.33
Mexico,cafe de don balbino s.c. de r.l. de c.v.,corta pico,83.25
Guatemala,mercon guatemala s.a.,linda vista,83.25
Brazil,bourbon specialty coffees,NA,83.25
Colombia,carcafe ltda,NA,83.25
Mexico,productos y servicios chilindron s.a. de c.v.,los charcos,83.25
Taiwan,taiwan coffee laboratory,sunshine valley estate 向陽高山咖啡,83.25
Taiwan,宸嶧國際,以勒咖啡,83.25
Colombia,ecom cca sa,NA,83.25
Guatemala,"siembras vision, s.a.",finca medina,83.25
Colombia,exportadora de cafe condor s.a,NA,83.25
Mexico,"finca triunfo verde, s.c.",various,83.25
Mexico,finca teocelo,finca teocelo,83.25
Mexico,NA,mata larga,83.25
Guatemala,"unex guatemala, s.a.",agropecuaria quiagral,83.25
Brazil,nucoffee,água limpa,83.25
Colombia,exportadora de cafe condor s.a,NA,83.25
Colombia,c.i.racafe & cia s.c.a,NA,83.25
Colombia,NA,NA,83.25
Colombia,NA,NA,83.25
Colombia,NA,NA,83.25
Brazil,ipanema coffees,fazenda capoeirnha,83.17
Guatemala,"unex guatemala, s.a.",beneficio el torreon,83.17
Guatemala,"siembras vision, s.a.",finca medina,83.17
Guatemala,"siembras vision, s.a.",finca medina,83.17
Guatemala,"unex guatemala, s.a.","la esperanza, margarita nuyes",83.17
Kenya,taylor winch (coffee) ltd,NA,83.17
Colombia,racafe & cia s.c.a,NA,83.17
Colombia,green mountain coffee,unkown,83.17
Guatemala,"agricola nueva granada, s.a.",nueva granada,83.17
Guatemala,"unex guatemala, s.a.",finca el morito,83.17
Mexico,cesmach s.c.,santa cecilia,83.17
Mexico,NA,tlapacoya,83.17
Mexico,NA,la loma,83.17
Colombia,c.i.racafe & cia s.c.a,NA,83.17
Mexico,NA,el mirador,83.17
Colombia,exportadora de cafe condor s.a,NA,83.17
Mexico,ecomtrading,finca nueva linda,83.17
Brazil,nucoffee,campo das flores,83.17
Brazil,nucoffee,são francisco da serra,83.17
Guatemala,coffee resources inc.,conquista / morito,83.17
Brazil,nucoffee,fazenda do lobo,83.17
Brazil,NA,olhos d'agua,83.17
Colombia,carcafe ltda,NA,83.08
Colombia,racafe & cia s.c.a,NA,83.08
Brazil,ipanema coffees,capoeirinha,83.08
Brazil,ipanema coffees,rio verde,83.08
Taiwan,taiwan coffee laboratory,kan tou mountain coffee 崁頭山咖啡館,83.08
Brazil,bourbon specialty coffees,NA,83.08
Brazil,ipanema coffees,rio verde,83.08
Taiwan,blossom valley宸嶧國際,alishan zou zhu yuan 阿里山鄒築園,83.08
Mexico,finca las nubes,santa maria,83.08
Colombia,NA,NA,83.08
Colombia,NA,NA,83.08
Guatemala,NA,NA,83.08
Brazil,ipanema coffees,fazenda capoeirnha,83
Brazil,ipanema coffees,fazenda capoeirnha,83
Brazil,ipanema coffees,capoeirinha,83
Colombia,carcafe ltda,NA,83
Guatemala,mercon guatemala s.a.,el chile,83
Guatemala,"agricola nueva granada, s.a.",nueva granada,83
Guatemala,"siembras vision, s.a.",finca medina,83
Brazil,atlantica eportacao e importcao ltda,fazenda santo antonio,83
Taiwan,宸嶧國際,雅慕伊,83
Guatemala,"siembras vision, s.a.",grupo medina (pequeños productores),83
Brazil,exportadora de cafés carmo de minas ltda,sertao farm,83
Colombia,racafe & cia s.c.a,NA,83
Colombia,exportadora de cafe condor s.a,NA,83
Colombia,carcafe ltda,NA,83
Colombia,carcafe ltda,NA,83
Colombia,c.i.racafe & cia s.c.a,NA,83
Mexico,NA,vegas,83
Mexico,finca la estancia,finca la estancia,83
Mexico,ecomtrading,las lomas,83
Colombia,exportadora de cafe condor s.a,NA,83
Colombia,exportadora de cafe condor s.a,various,83
Colombia,exportadora de cafe condor s.a,NA,83
Guatemala,"nuevos mercados, s.a.",la igualdad,83
Colombia,c.i.racafe & cia s.c.a,NA,83
Colombia,NA,NA,83
Colombia,NA,NA,83
Brazil,ipanema coffees,fazenda capoeirnha,82.92
Colombia,racafe & cia s.c.a,NA,82.92
Taiwan,taiwan coffee laboratory,shi fang yuan 十方源,82.92
Taiwan,宸嶧國際,佐佑品咖啡莊園,82.92
Mexico,productos y servicios chilindron s.a. de c.v.,pinzoneno,82.92
Mexico,"tony's coffee and teas, inc.",fiech (mixed producers),82.92
Brazil,expocaccer,fazenda pantano,82.92
Guatemala,"siembras vision, s.a.",finca medina,82.92
Guatemala,"siembras vision, s.a.",finca medina,82.92
Guatemala,thrive farmers,NA,82.92
Colombia,racafe & cia s.c.a,NA,82.92
Colombia,exportadora de cafe condor s.a,NA,82.92
Guatemala,exportcafe,finca los cerros y anexos,82.92
Colombia,olam international ltd,NA,82.92
Mexico,NA,el regalito,82.92
Mexico,union de ejidos san fernando de ri,el jabali,82.92
Colombia,NA,NA,82.92
Kenya,keremara limited,jungle estate,82.83
Guatemala,"unex guatemala, s.a.",piamonte,82.83
Brazil,ipanema coffees,capoeirinha,82.83
