Year,Web browsers
1990.057189840525, 0.334219616844905
1990.9249713068634, 7.466637388910556
1991.3518185415187, 10.69662725861987
1991.7500708559112, 14.264835544131302
1992.361788880252, 19.279729316387773
1992.5894257724697, 21.062233939560613
1993.030331942406, 25.076868140656686
1993.4998049708577, 28.86549022469042
1994.0687288309196, 33.994989575060956
1994.6661914877495, 39.010683107108875
1995.976366396619, 44.21080124706404
1996.3895194987049, 45.19746490176985
1998.2271710672162, 50.255785630701794
1998.9821443103403, 52.457524336550144
1999.9793746159048, 54.98228602216317
2000.5500102425376, 53.26720114940915
2001.1349854219222, 51.21469762064447
2001.8340316031395, 49.043589714808455
2002.1336468765871, 48.016938070530394
2002.376212618245, 47.105691764157854
2002.904082142346, 45.39300617077818
2004.188131564695, 41.05718843743773
2004.972738012723, 38.76907567411332
2005.7431452167348, 36.25735007310085
2006.7989123266834, 32.71977258760175
2007.583546836459, 30.319453525537597
2007.9260123976796, 28.95378370566594
2008.9389853433495, 25.530811798280936
2009.7235917913777, 23.242699034956516
2009.980356777052, 22.555065566272035
1997.358239069248, 47.72382610696576
1994.97927639979, 41.125008067752276
1995.1074624603978, 41.56663542458826
